Group count EV PC1 PC2 PC3 PC4 shannon simpson invsimpson
AK10 Test 96693 1210.63657180646 -2.41149588344127 -26.0710575375853 29.8862495444777 -48.188877981823 3.79097932839055 0.942055677568185 17.2579462151228
AK1 Control 99828 674.216327388307 64.562904948581 8.62432328506196 -11.1694451989987 0.217114381539278 4.06302405838533 0.961209611420773 25.779581917762
AK2 Control 81610 551.295054301958 61.1640303301758 7.53236755577341 -10.2356975539445 0.286075751101595 4.01858369072733 0.959480700864469 24.6795976567894
AK3 Control 105191 506.770849887973 -31.3651665033259 -11.0160353982179 -42.3328615736984 -14.9118433727906 4.30098491180935 0.974464979068721 39.1619024981909
AK4 Control 102450 501.299299896189 -0.538350676132236 -23.5436496153814 22.0850978450998 21.3957779030579 3.23669199858314 0.919478209156295 12.4189985036601
AK5 Control 91983 464.38296783948 -27.9341257855745 56.4001110053709 11.5768126615451 -0.374119975403916 4.59508088856514 0.982153293201658 56.0327466181548
AK6 Test 104087 406.281782572411 -21.1234263661432 -11.7677042276807 0.187229211455427 34.224160652314 4.05929444389449 0.962228771176703 26.4751778312069
AK7 Test 94175 299.460769883155 -24.0586341429533 -3.91916416251851 -30.5431057671685 -6.6892659285307 4.09395638131376 0.96828137969565 31.5272225085668
AK8 Test 70628 32.460102078199 -12.5934203747036 26.7761054281943 18.854714958701 -4.01908427125924 4.36924175642527 0.972909610021083 36.9134590080931
AK9 Test 111298 4.08800980209099e-27 -5.70231554648267 -23.0152963330172 11.691005872531 18.0600628417946 3.34568781143204 0.934445443288746 15.2544697145108
